relative_path,archive_path,local_size_bytes,archive_size_bytes,local_crc32,archive_crc32,status
Signals/DATA A/A10/A10_R2_acquisition.gdf,BCI Database/Signals/DATA A/A10/A10_R2_acquisition.gdf,59000512,59000512,c01aa51e,c01aa51e,match
Signals/DATA A/A10/A10_R3_onlineT.gdf,BCI Database/Signals/DATA A/A10/A10_R3_onlineT.gdf,59000512,59000512,56b22133,56b22133,match
Signals/DATA A/A10/A10_R4_onlineT.gdf,BCI Database/Signals/DATA A/A10/A10_R4_onlineT.gdf,59000512,59000512,9d3a173e,9d3a173e,match
Signals/DATA A/A10/A10_R5_onlineT.gdf,BCI Database/Signals/DATA A/A10/A10_R5_onlineT.gdf,59000512,59000512,c3831fe9,c3831fe9,match
Signals/DATA A/A10/A10_R6_onlineT.gdf,BCI Database/Signals/DATA A/A10/A10_R6_onlineT.gdf,59000512,59000512,1e267504,1e267504,match
Signals/DATA A/A10/classifier_A10.xml,BCI Database/Signals/DATA A/A10/classifier_A10.xml,995,995,9a53b57d,9a53b57d,match
Signals/DATA A/A10/csp-spatial-filter_A10.xml,BCI Database/Signals/DATA A/A10/csp-spatial-filter_A10.xml,2530,2530,8c8bbce1,8c8bbce1,match
Signals/DATA A/A10/frequency-band-selected_A10.csv,BCI Database/Signals/DATA A/A10/frequency-band-selected_A10.csv,9936,9936,34d0d8aa,34d0d8aa,match
Signals/DATA A/A10/frequency-band-selected_A10.xml,BCI Database/Signals/DATA A/A10/frequency-band-selected_A10.xml,576,576,f6cbdb78,f6cbdb78,match
Signals/DATA A/A11/A11_CE_baseline.gdf,BCI Database/Signals/DATA A/A11/A11_CE_baseline.gdf,24527154,24527154,6a067cda,6a067cda,match
Signals/DATA A/A11/A11_OE_baseline.gdf,BCI Database/Signals/DATA A/A11/A11_OE_baseline.gdf,24518962,24518962,c9499b1e,c9499b1e,match
Signals/DATA A/A11/A11_R1_acquisition.gdf,BCI Database/Signals/DATA A/A11/A11_R1_acquisition.gdf,59016896,59016896,c33e8241,c33e8241,match
Signals/DATA A/A11/A11_R2_acquisition.gdf,BCI Database/Signals/DATA A/A11/A11_R2_acquisition.gdf,59025088,59025088,ef8eccf9,ef8eccf9,match
Signals/DATA A/A11/A11_R3_onlineT.gdf,BCI Database/Signals/DATA A/A11/A11_R3_onlineT.gdf,59025088,59025088,917aa52f,917aa52f,match
Signals/DATA A/A11/A11_R4_onlineT.gdf,BCI Database/Signals/DATA A/A11/A11_R4_onlineT.gdf,59016896,59016896,0b68b34e,0b68b34e,match
Signals/DATA A/A11/A11_R5_onlineT.gdf,BCI Database/Signals/DATA A/A11/A11_R5_onlineT.gdf,59025088,59025088,0111b293,0111b293,match
Signals/DATA A/A11/A11_R6_onlineT.gdf,BCI Database/Signals/DATA A/A11/A11_R6_onlineT.gdf,59016896,59016896,f5562743,f5562743,match
Signals/DATA A/A11/classifier_A11.xml,BCI Database/Signals/DATA A/A11/classifier_A11.xml,997,997,63f82f4e,63f82f4e,match
Signals/DATA A/A11/csp-spatial-filter_A11.xml,BCI Database/Signals/DATA A/A11/csp-spatial-filter_A11.xml,2530,2530,3eab5fd6,3eab5fd6,match
Signals/DATA A/A11/frequency-band-selected_A11.csv,BCI Database/Signals/DATA A/A11/frequency-band-selected_A11.csv,9966,9966,18dbf7d0,18dbf7d0,match
Signals/DATA A/A11/frequency-band-selected_A11.xml,BCI Database/Signals/DATA A/A11/frequency-band-selected_A11.xml,577,577,234d3f89,234d3f89,match
Signals/DATA A/A12/A12_CE_baseline.gdf,BCI Database/Signals/DATA A/A12/A12_CE_baseline.gdf,24527154,24527154,00511587,00511587,match
Signals/DATA A/A12/A12_OE_baseline.gdf,BCI Database/Signals/DATA A/A12/A12_OE_baseline.gdf,24527154,24527154,06ec2969,06ec2969,match
Signals/DATA A/A12/A12_R1_acquisition.gdf,BCI Database/Signals/DATA A/A12/A12_R1_acquisition.gdf,59000512,59000512,6f5afe39,6f5afe39,match
Signals/DATA A/A12/A12_R2_acquisition.gdf,BCI Database/Signals/DATA A/A12/A12_R2_acquisition.gdf,59000512,59000512,48ed94f0,48ed94f0,match
Signals/DATA A/A12/A12_R3_onlineT.gdf,BCI Database/Signals/DATA A/A12/A12_R3_onlineT.gdf,59401920,59401920,5224ffdd,5224ffdd,match
Signals/DATA A/A12/A12_R4_onlineT.gdf,BCI Database/Signals/DATA A/A12/A12_R4_onlineT.gdf,59000512,59000512,af7228ae,af7228ae,match
Signals/DATA A/A12/A12_R5_onlineT.gdf,BCI Database/Signals/DATA A/A12/A12_R5_onlineT.gdf,59000512,59000512,867bf916,867bf916,match
Signals/DATA A/A12/A12_R6_onlineT.gdf,BCI Database/Signals/DATA A/A12/A12_R6_onlineT.gdf,59000512,59000512,89e67f06,89e67f06,match
Signals/DATA A/A12/classifier_A12.xml,BCI Database/Signals/DATA A/A12/classifier_A12.xml,994,994,1267b5dd,1267b5dd,match
Signals/DATA A/A12/csp-spatial-filter_A12.xml,BCI Database/Signals/DATA A/A12/csp-spatial-filter_A12.xml,2533,2533,06a89ef6,06a89ef6,match
Signals/DATA A/A12/frequency-band-selected_A12.csv,BCI Database/Signals/DATA A/A12/frequency-band-selected_A12.csv,9965,9965,77edefe1,77edefe1,match
Signals/DATA A/A12/frequency-band-selected_A12.xml,BCI Database/Signals/DATA A/A12/frequency-band-selected_A12.xml,577,577,26935ee6,26935ee6,match
Signals/DATA A/A13/A13_CE_baseline.gdf,BCI Database/Signals/DATA A/A13/A13_CE_baseline.gdf,24527154,24527154,43f77ff1,43f77ff1,match
Signals/DATA A/A13/A13_OE_baseline.gdf,BCI Database/Signals/DATA A/A13/A13_OE_baseline.gdf,24527154,24527154,43d1725e,43d1725e,match
Signals/DATA A/A13/A13_R1_acquisition.gdf,BCI Database/Signals/DATA A/A13/A13_R1_acquisition.gdf,59000512,59000512,83cb6102,83cb6102,match
Signals/DATA A/A13/A13_R2_acquisition.gdf,BCI Database/Signals/DATA A/A13/A13_R2_acquisition.gdf,59000512,59000512,2f06af28,2f06af28,match
Signals/DATA A/A13/A13_R3_onlineT.gdf,BCI Database/Signals/DATA A/A13/A13_R3_onlineT.gdf,59000512,59000512,7f2bad18,7f2bad18,match
Signals/DATA A/A13/A13_R4_onlineT.gdf,BCI Database/Signals/DATA A/A13/A13_R4_onlineT.gdf,59000512,59000512,9e221241,9e221241,match
Signals/DATA A/A13/A13_R5_onlineT.gdf,BCI Database/Signals/DATA A/A13/A13_R5_onlineT.gdf,59000512,59000512,8121926e,8121926e,match
Signals/DATA A/A13/A13_R6_onlineT.gdf,BCI Database/Signals/DATA A/A13/A13_R6_onlineT.gdf,59000512,59000512,3af29d3a,3af29d3a,match
Signals/DATA A/A13/classifier_A13.xml,BCI Database/Signals/DATA A/A13/classifier_A13.xml,996,996,81ec4748,81ec4748,match
Signals/DATA A/A13/csp-spatial-filter_A13.xml,BCI Database/Signals/DATA A/A13/csp-spatial-filter_A13.xml,2533,2533,37fcea0e,37fcea0e,match
Signals/DATA A/A13/frequency-band-selected_A13.csv,BCI Database/Signals/DATA A/A13/frequency-band-selected_A13.csv,9955,9955,7074b343,7074b343,match
Signals/DATA A/A13/frequency-band-selected_A13.xml,BCI Database/Signals/DATA A/A13/frequency-band-selected_A13.xml,577,577,203bef29,203bef29,match
Signals/DATA A/A14/A14_CE_baseline.gdf,BCI Database/Signals/DATA A/A14/A14_CE_baseline.gdf,24527154,24527154,2b673a0c,2b673a0c,match
Signals/DATA A/A14/A14_OE_baseline.gdf,BCI Database/Signals/DATA A/A14/A14_OE_baseline.gdf,24527154,24527154,cc3d0cd1,cc3d0cd1,match
Signals/DATA A/A14/A14_R1_acquisition.gdf,BCI Database/Signals/DATA A/A14/A14_R1_acquisition.gdf,59000512,59000512,ea1dcd31,ea1dcd31,match
Signals/DATA A/A14/A14_R2_acquisition.gdf,BCI Database/Signals/DATA A/A14/A14_R2_acquisition.gdf,59000512,59000512,fdf8e85e,fdf8e85e,match
Signals/DATA A/A14/A14_R3_onlineT.gdf,BCI Database/Signals/DATA A/A14/A14_R3_onlineT.gdf,59000512,59000512,4a24db5e,4a24db5e,match
Signals/DATA A/A14/A14_R4_onlineT.gdf,BCI Database/Signals/DATA A/A14/A14_R4_onlineT.gdf,59000512,59000512,43449225,43449225,match
Signals/DATA A/A14/A14_R5_onlineT.gdf,BCI Database/Signals/DATA A/A14/A14_R5_onlineT.gdf,59000512,59000512,5a7e7ec9,5a7e7ec9,match
Signals/DATA A/A14/A14_R6_onlineT.gdf,BCI Database/Signals/DATA A/A14/A14_R6_onlineT.gdf,59000512,59000512,463fd386,463fd386,match
Signals/DATA A/A14/classifier_A14.xml,BCI Database/Signals/DATA A/A14/classifier_A14.xml,995,995,45d8974b,45d8974b,match
Signals/DATA A/A14/csp-spatial-filter_A14.xml,BCI Database/Signals/DATA A/A14/csp-spatial-filter_A14.xml,2534,2534,194820d8,194820d8,match
Signals/DATA A/A14/frequency-band-selected_A14.csv,BCI Database/Signals/DATA A/A14/frequency-band-selected_A14.csv,9960,9960,03a47309,03a47309,match
Signals/DATA A/A14/frequency-band-selected_A14.xml,BCI Database/Signals/DATA A/A14/frequency-band-selected_A14.xml,577,577,26df2a8d,26df2a8d,match
Signals/DATA A/A15/A15_CE_baseline.gdf,BCI Database/Signals/DATA A/A15/A15_CE_baseline.gdf,24527154,24527154,4f2e6585,4f2e6585,match
Signals/DATA A/A15/A15_OE_baseline.gdf,BCI Database/Signals/DATA A/A15/A15_OE_baseline.gdf,24527154,24527154,2587d4d9,2587d4d9,match
Signals/DATA A/A15/A15_R1_acquisition.gdf,BCI Database/Signals/DATA A/A15/A15_R1_acquisition.gdf,59000512,59000512,e95bfb6d,e95bfb6d,match
Signals/DATA A/A15/A15_R2_acquisition.gdf,BCI Database/Signals/DATA A/A15/A15_R2_acquisition.gdf,59000512,59000512,44d5b108,44d5b108,match
Signals/DATA A/A15/A15_R3_onlineT.gdf,BCI Database/Signals/DATA A/A15/A15_R3_onlineT.gdf,59000512,59000512,6afbc626,6afbc626,match
Signals/DATA A/A15/A15_R4_onlineT.gdf,BCI Database/Signals/DATA A/A15/A15_R4_onlineT.gdf,59000512,59000512,28624114,28624114,match
Signals/DATA A/A15/A15_R5_onlineT.gdf,BCI Database/Signals/DATA A/A15/A15_R5_onlineT.gdf,59000512,59000512,45bef012,45bef012,match
Signals/DATA A/A15/A15_R6_onlineT.gdf,BCI Database/Signals/DATA A/A15/A15_R6_onlineT.gdf,59000512,59000512,9bd1724e,9bd1724e,match
Signals/DATA A/A15/classifier_A15.xml,BCI Database/Signals/DATA A/A15/classifier_A15.xml,996,996,ad0db26a,ad0db26a,match
Signals/DATA A/A15/csp-spatial-filter_A15.xml,BCI Database/Signals/DATA A/A15/csp-spatial-filter_A15.xml,2537,2537,5ead25bb,5ead25bb,match
Signals/DATA A/A15/frequency-band-selected_A15.csv,BCI Database/Signals/DATA A/A15/frequency-band-selected_A15.csv,9938,9938,769956b6,769956b6,match
Signals/DATA A/A15/frequency-band-selected_A15.xml,BCI Database/Signals/DATA A/A15/frequency-band-selected_A15.xml,576,576,8c647c66,8c647c66,match
Signals/DATA A/A16/A16_CE_baseline.gdf,BCI Database/Signals/DATA A/A16/A16_CE_baseline.gdf,24133944,24133944,15d96f15,15d96f15,match
Signals/DATA A/A16/A16_OE_baseline.gdf,BCI Database/Signals/DATA A/A16/A16_OE_baseline.gdf,26714424,26714424,16bec877,16bec877,match
Signals/DATA A/A16/A16_R1_acquisition.gdf,BCI Database/Signals/DATA A/A16/A16_R1_acquisition.gdf,59000512,59000512,57a56ac4,57a56ac4,match
Signals/DATA A/A16/A16_R2_acquisition.gdf,BCI Database/Signals/DATA A/A16/A16_R2_acquisition.gdf,59000512,59000512,90493c35,90493c35,match
Signals/DATA A/A16/A16_R3_onlineT.gdf,BCI Database/Signals/DATA A/A16/A16_R3_onlineT.gdf,59000512,59000512,b2b45531,b2b45531,match
Signals/DATA A/A16/A16_R4_onlineT.gdf,BCI Database/Signals/DATA A/A16/A16_R4_onlineT.gdf,59000512,59000512,7555a99d,7555a99d,match
Signals/DATA A/A16/A16_R5_onlineT.gdf,BCI Database/Signals/DATA A/A16/A16_R5_onlineT.gdf,59000512,59000512,9020b3cb,9020b3cb,match
Signals/DATA A/A16/A16_R6_onlineT.gdf,BCI Database/Signals/DATA A/A16/A16_R6_onlineT.gdf,59000512,59000512,bd6d4223,bd6d4223,match
Signals/DATA A/A16/Note.txt,BCI Database/Signals/DATA A/A16/Note.txt,243,243,c5d61fdc,c5d61fdc,match
Signals/DATA A/A16/classifier_A16.xml,BCI Database/Signals/DATA A/A16/classifier_A16.xml,995,995,1f6a9b32,1f6a9b32,match
Signals/DATA A/A16/csp-spatial-filter_A16.xml,BCI Database/Signals/DATA A/A16/csp-spatial-filter_A16.xml,2532,2532,5ca8af20,5ca8af20,match
Signals/DATA A/A16/frequency-band-selected_A16.csv,BCI Database/Signals/DATA A/A16/frequency-band-selected_A16.csv,9970,9970,8fb48d51,8fb48d51,match
Signals/DATA A/A16/frequency-band-selected_A16.xml,BCI Database/Signals/DATA A/A16/frequency-band-selected_A16.xml,577,577,29255073,29255073,match
Signals/DATA A/A17/A17_CE_baseline.gdf,BCI Database/Signals/DATA A/A17/A17_CE_baseline.gdf,24527154,24527154,1960cb55,1960cb55,match
Signals/DATA A/A17/A17_OE_baseline.gdf,BCI Database/Signals/DATA A/A17/A17_OE_baseline.gdf,24527154,24527154,80081d51,80081d51,match
Signals/DATA A/A17/A17_R1_acquisition.gdf,BCI Database/Signals/DATA A/A17/A17_R1_acquisition.gdf,59000512,59000512,9fb8e27e,9fb8e27e,match
Signals/DATA A/A17/A17_R2_acquisition.gdf,BCI Database/Signals/DATA A/A17/A17_R2_acquisition.gdf,59000512,59000512,f575901f,f575901f,match
Signals/DATA A/A17/A17_R3_onlineT.gdf,BCI Database/Signals/DATA A/A17/A17_R3_onlineT.gdf,59000512,59000512,69e1bbfb,69e1bbfb,match
Signals/DATA A/A17/A17_R4_onlineT.gdf,BCI Database/Signals/DATA A/A17/A17_R4_onlineT.gdf,59000512,59000512,b11c5085,b11c5085,match
Signals/DATA A/A17/A17_R5_onlineT.gdf,BCI Database/Signals/DATA A/A17/A17_R5_onlineT.gdf,59000512,59000512,9aa97eef,9aa97eef,match
Signals/DATA A/A17/A17_R6_onlineT.gdf,BCI Database/Signals/DATA A/A17/A17_R6_onlineT.gdf,59000512,59000512,7cb5d7fc,7cb5d7fc,match
Signals/DATA A/A17/Note.DS_Store,BCI Database/Signals/DATA A/A17/Note.DS_Store,6148,6148,6d88006a,6d88006a,match
Signals/DATA A/A17/Thumbs.db,BCI Database/Signals/DATA A/A17/Thumbs.db,14848,14848,e12670e3,e12670e3,match
Signals/DATA A/A17/classifier_A17.xml,BCI Database/Signals/DATA A/A17/classifier_A17.xml,997,997,08bf9617,08bf9617,match
Signals/DATA A/A17/csp-spatial-filter_A17.xml,BCI Database/Signals/DATA A/A17/csp-spatial-filter_A17.xml,2541,2541,c5ca4792,c5ca4792,match
Signals/DATA A/A17/frequency-band-selected_A17.csv,BCI Database/Signals/DATA A/A17/frequency-band-selected_A17.csv,9993,9993,deb15cc2,deb15cc2,match
Signals/DATA A/A17/frequency-band-selected_A17.xml,BCI Database/Signals/DATA A/A17/frequency-band-selected_A17.xml,577,577,48e2e761,48e2e761,match
Signals/DATA A/A18/A18_CE_baseline.gdf,BCI Database/Signals/DATA A/A18/A18_CE_baseline.gdf,24527154,24527154,6d201a18,6d201a18,match
Signals/DATA A/A18/A18_OE_baseline.gdf,BCI Database/Signals/DATA A/A18/A18_OE_baseline.gdf,24527154,24527154,8f5d55b0,8f5d55b0,match
Signals/DATA A/A18/A18_R1_acquisition.gdf,BCI Database/Signals/DATA A/A18/A18_R1_acquisition.gdf,59000512,59000512,59041fab,59041fab,match
Signals/DATA A/A18/A18_R2_acquisition.gdf,BCI Database/Signals/DATA A/A18/A18_R2_acquisition.gdf,59000512,59000512,265ddf69,265ddf69,match
Signals/DATA A/A18/A18_R3_onlineT.gdf,BCI Database/Signals/DATA A/A18/A18_R3_onlineT.gdf,59000512,59000512,fd449ce2,fd449ce2,match
Signals/DATA A/A18/A18_R4_onlineT.gdf,BCI Database/Signals/DATA A/A18/A18_R4_onlineT.gdf,59000512,59000512,ac039c16,ac039c16,match
Signals/DATA A/A18/A18_R5_onlineT.gdf,BCI Database/Signals/DATA A/A18/A18_R5_onlineT.gdf,59000512,59000512,f18216eb,f18216eb,match
Signals/DATA A/A18/A18_R6_onlineT.gdf,BCI Database/Signals/DATA A/A18/A18_R6_onlineT.gdf,59000512,59000512,13271377,13271377,match
Signals/DATA A/A18/classifier_A18.xml,BCI Database/Signals/DATA A/A18/classifier_A18.xml,996,996,5457e590,5457e590,match
Signals/DATA A/A18/csp-spatial-filter_A18.xml,BCI Database/Signals/DATA A/A18/csp-spatial-filter_A18.xml,2530,2530,3a1cb510,3a1cb510,match
Signals/DATA A/A18/frequency-band-selected_A18.csv,BCI Database/Signals/DATA A/A18/frequency-band-selected_A18.csv,9977,9977,f615830b,f615830b,match
Signals/DATA A/A18/frequency-band-selected_A18.xml,BCI Database/Signals/DATA A/A18/frequency-band-selected_A18.xml,577,577,4f2446be,4f2446be,match
Signals/DATA A/A19/A19_CE_baseline.gdf,BCI Database/Signals/DATA A/A19/A19_CE_baseline.gdf,24527154,24527154,9c4e3a38,9c4e3a38,match
Signals/DATA A/A19/A19_OE_baseline.gdf,BCI Database/Signals/DATA A/A19/A19_OE_baseline.gdf,24527154,24527154,474a5a16,474a5a16,match
Signals/DATA A/A19/A19_R1_acquisition.gdf,BCI Database/Signals/DATA A/A19/A19_R1_acquisition.gdf,59000512,59000512,a633cd16,a633cd16,match
Signals/DATA A/A19/A19_R2_acquisition.gdf,BCI Database/Signals/DATA A/A19/A19_R2_acquisition.gdf,59000512,59000512,ee14a594,ee14a594,match
Signals/DATA A/A19/A19_R3_onlineT.gdf,BCI Database/Signals/DATA A/A19/A19_R3_onlineT.gdf,59000512,59000512,f0956e90,f0956e90,match
Signals/DATA A/A19/A19_R4_onlineT.gdf,BCI Database/Signals/DATA A/A19/A19_R4_onlineT.gdf,59000512,59000512,5f35066e,5f35066e,match
Signals/DATA A/A19/A19_R5_onlineT.gdf,BCI Database/Signals/DATA A/A19/A19_R5_onlineT.gdf,59000512,59000512,2e27edb1,2e27edb1,match
Signals/DATA A/A19/A19_R6_onlineT.gdf,BCI Database/Signals/DATA A/A19/A19_R6_onlineT.gdf,59000512,59000512,9cbe3b18,9cbe3b18,match
Signals/DATA A/A19/classifier_A19.xml,BCI Database/Signals/DATA A/A19/classifier_A19.xml,995,995,43003377,43003377,match
Signals/DATA A/A19/csp-spatial-filter_A19.xml,BCI Database/Signals/DATA A/A19/csp-spatial-filter_A19.xml,2538,2538,2b101ce8,2b101ce8,match
Signals/DATA A/A19/frequency-band-selected_A19.csv,BCI Database/Signals/DATA A/A19/frequency-band-selected_A19.csv,9949,9949,6d433791,6d433791,match
Signals/DATA A/A19/frequency-band-selected_A19.xml,BCI Database/Signals/DATA A/A19/frequency-band-selected_A19.xml,576,576,18f0aaf4,18f0aaf4,match
Signals/DATA A/A2/A2_CE_baseline.gdf,BCI Database/Signals/DATA A/A2/A2_CE_baseline.gdf,24527154,24527154,77aaf998,77aaf998,match
Signals/DATA A/A2/A2_OE_baseline.gdf,BCI Database/Signals/DATA A/A2/A2_OE_baseline.gdf,24527154,24527154,89354d35,89354d35,match
Signals/DATA A/A2/A2_R1_acquisition.gdf,BCI Database/Signals/DATA A/A2/A2_R1_acquisition.gdf,59000512,59000512,6ec5d341,6ec5d341,match
Signals/DATA A/A2/A2_R2_acquisition.gdf,BCI Database/Signals/DATA A/A2/A2_R2_acquisition.gdf,59000512,59000512,8d9ac359,8d9ac359,match
Signals/DATA A/A2/A2_R3_onlineT.gdf,BCI Database/Signals/DATA A/A2/A2_R3_onlineT.gdf,59000512,59000512,667b4dad,667b4dad,match
Signals/DATA A/A2/A2_R4_onlineT.gdf,BCI Database/Signals/DATA A/A2/A2_R4_onlineT.gdf,59000512,59000512,9e8155f4,9e8155f4,match
Signals/DATA A/A2/A2_R5_onlineT.gdf,BCI Database/Signals/DATA A/A2/A2_R5_onlineT.gdf,59000512,59000512,1c188604,1c188604,match
Signals/DATA A/A2/A2_R6_onlineT.gdf,BCI Database/Signals/DATA A/A2/A2_R6_onlineT.gdf,59000512,59000512,7f0e84dc,7f0e84dc,match
Signals/DATA A/A2/classifier_A2.xml,BCI Database/Signals/DATA A/A2/classifier_A2.xml,997,997,c1375952,c1375952,match
Signals/DATA A/A2/csp-spatial-filter_A2.xml,BCI Database/Signals/DATA A/A2/csp-spatial-filter_A2.xml,2539,2539,851a6c73,851a6c73,match
Signals/DATA A/A2/frequency-band-selected_A2.csv,BCI Database/Signals/DATA A/A2/frequency-band-selected_A2.csv,9988,9988,35cead3b,35cead3b,match
Signals/DATA A/A2/frequency-band-selected_A2.xml,BCI Database/Signals/DATA A/A2/frequency-band-selected_A2.xml,577,577,aeb1d86d,aeb1d86d,match
Signals/DATA A/A20/A20_CE_baseline.gdf,BCI Database/Signals/DATA A/A20/A20_CE_baseline.gdf,24527154,24527154,d1d0a7cc,d1d0a7cc,match
Signals/DATA A/A20/A20_OE_baseline.gdf,BCI Database/Signals/DATA A/A20/A20_OE_baseline.gdf,24527154,24527154,9051cdb4,9051cdb4,match
Signals/DATA A/A20/A20_R1_acquisition.gdf,BCI Database/Signals/DATA A/A20/A20_R1_acquisition.gdf,59000512,59000512,b2dada09,b2dada09,match
Signals/DATA A/A20/A20_R2_acquisition.gdf,BCI Database/Signals/DATA A/A20/A20_R2_acquisition.gdf,59000512,59000512,78ca8b79,78ca8b79,match
