subject,confound,spearman_rho,p_value
A39,emg_rms_20_45hz,0.6818199968749455,3.658488533989889e-34
A39,artifact_robust_z,0.17848139724647993,0.005556163848135211
A46,trial,-0.08958085909919118,0.1665673894866678
A46,run_index,-0.706801595734484,1.2137130093238007e-37
A46,blink_amplitude,0.6760542717755516,2.0776372451518364e-33
A46,emg_rms_20_45hz,0.721050712685984,8.521698871016566e-40
A46,artifact_robust_z,0.0457559347288595,0.480488732365661
A47,trial,-0.06901696175915933,0.2869237566960206
A47,run_index,-0.7627935511536373,5.85494603222697e-47
A47,blink_amplitude,0.5806515738120452,4.939924826108291e-23
A47,emg_rms_20_45hz,0.7257808295282903,1.5335922413190899e-40
A47,artifact_robust_z,0.028850339467639208,0.6565317440552613
A49,trial,-0.287227681873817,6.121984765629939e-06
A49,run_index,-0.755997043357476,1.0756586118613705e-45
A49,blink_amplitude,0.6040165627875482,2.968037064125844e-25
A49,emg_rms_20_45hz,0.6433297453080781,1.9644312897004672e-29
A49,artifact_robust_z,0.033231700203147974,0.6084571664133825
A53,trial,-0.040820404271383205,0.5291214055776559
A53,run_index,-0.6518308772380698,2.0304323300783013e-30
A53,blink_amplitude,0.6629793920033332,9.248542105009588e-32
A53,emg_rms_20_45hz,0.656867306724075,5.112042639380157e-31
A53,artifact_robust_z,-0.03105447228923431,0.632153791599221
A57,trial,-0.06939729226481484,0.2842698166434478
A57,run_index,-0.7705408657399354,1.8780861965238346e-48
A57,blink_amplitude,0.727418878799979,8.397187884922523e-41
A57,emg_rms_20_45hz,0.6937924269518567,8.715550626115814e-36
A57,artifact_robust_z,0.017829675359663684,0.7834730447519817
A58,trial,-0.003417764543972863,0.9579936461908402
A58,run_index,-0.8144540534177243,3.4507323955926274e-58
A58,blink_amplitude,0.6585982395527699,3.16279691210835e-31
A58,emg_rms_20_45hz,0.5693779405892463,5.048178439164141e-22
A58,artifact_robust_z,0.05769033089386247,0.37356789743784546
A59,trial,-0.0332688602294669,0.6762121054562648
A59,run_index,-0.8728906704638979,4.155458469147715e-51
A59,blink_amplitude,0.8211801397372265,2.4826102452223294e-40
A59,emg_rms_20_45hz,0.7881343021211766,4.000236856503208e-35
A59,artifact_robust_z,0.09012513607409177,0.2570578604224849
A7,trial,0.05899290843201941,0.36285650092601773
A7,run_index,-0.5461504632677052,4.625931630734999e-20
A7,blink_amplitude,0.7994845395503016,1.341503245789684e-54
A7,emg_rms_20_45hz,0.592707338669074,3.716553491259922e-24
A7,artifact_robust_z,0.020968245976492644,0.7465602362394668
A9,trial,0.11102524760985018,0.0861023929440269
A9,run_index,-0.6727486266210742,5.524940201576586e-33
A9,blink_amplitude,0.8461666001145851,5.373862088364992e-67
A9,emg_rms_20_45hz,0.6836455494018993,2.09341387900436e-34
A9,artifact_robust_z,0.05143578881577804,0.4276584859444487
B61,trial,0.13162040499144273,0.041621945405210393
B61,run_index,-0.06733120676818959,0.29888655848957274
B61,blink_amplitude,0.6277244396604107,1.056063938011704e-27
B61,emg_rms_20_45hz,0.027327731384225413,0.6735887606168695
B61,artifact_robust_z,0.2967456032222781,2.883022238258789e-06
B65,trial,0.14783394654760668,0.021970440885070067
B65,run_index,0.31633694058506645,5.609890761493051e-07
B65,blink_amplitude,0.7496102362888243,1.521766922719852e-44
B65,emg_rms_20_45hz,-0.13392593621417034,0.03814542250153484
B65,artifact_robust_z,0.1547049427941457,0.016456784179763716
B70,trial,-0.090518660346013,0.16215539683117075
B70,run_index,0.2360113743516771,0.00022474901727031208
B70,blink_amplitude,0.7799710064410839,2.367051094025796e-50
B70,emg_rms_20_45hz,-0.12460198961787529,0.05388411202081018
B70,artifact_robust_z,0.08836872167919581,0.17240210586262628
B71,trial,0.19169699486423403,0.0028641254119767625
B71,run_index,0.23759605233523803,0.0002032494671814208
B71,blink_amplitude,0.5607875136721122,2.7972694128800427e-21
B71,emg_rms_20_45hz,-0.21174673171409222,0.0009642762190543718
B71,artifact_robust_z,0.33646591086650807,9.200043716689874e-08
B72,trial,0.23621650405363664,0.00022185114096590473
B72,run_index,0.3344374846639626,1.1104443107715655e-07
B72,blink_amplitude,0.8204283060469798,1.0309650518622211e-59
B72,emg_rms_20_45hz,0.0889364398687477,0.16965071217240588
B72,artifact_robust_z,0.14278199274292952,0.02698289838147131
B75,trial,0.17739552585020124,0.005855916677840352
B75,run_index,0.35581302990888475,1.4271555422021208e-08
B75,blink_amplitude,0.7600939252417575,1.8823006630318905e-46
B75,emg_rms_20_45hz,-0.07473567249431413,0.2487589387164258
B75,artifact_robust_z,0.22144308060903833,0.00054892235690136
B76,trial,0.12705643892357654,0.0492930054136135
B76,run_index,0.11430810521419633,0.07716030309502886
B76,blink_amplitude,0.701378496154447,7.41504229093402e-37
B76,emg_rms_20_45hz,-0.07837722877133282,0.22637967442348
B76,artifact_robust_z,0.21421292036320072,0.0008374736233057173
C84,trial,0.312553525544933,7.767224735644189e-07
C84,run_index,0.07106400379613316,0.27283464514787237
C84,blink_amplitude,0.8197590235941594,1.5376323774218191e-59
C84,emg_rms_20_45hz,0.23600843764648685,0.00022479075942011758
C84,artifact_robust_z,0.4673049879338182,2.0147691715929778e-14
C86,trial,0.031176681449898803,0.630813386735158
C86,run_index,0.27883289497412406,1.1631928802337209e-05
C86,blink_amplitude,0.7612441188215072,1.1466489664697087e-46
C86,emg_rms_20_45hz,-0.25217191270681777,7.806535439089107e-05
C86,artifact_robust_z,0.33480008333478006,1.0738264163516171e-07
