frequency_hz,left_c3_power,left_c4_power,right_c3_power,right_c4_power
47.0,6.3429813,3.8440638,7.2732716,3.483473
47.5,5.045466,3.0593636,5.935756,3.053975
48.0,4.046174,2.3629978,4.75726,2.3965776
48.5,3.2360694,1.8796287,3.8497725,1.914312
49.0,2.5403292,1.5731378,2.7576244,1.4503258
49.5,55.003216,50.74949,55.164318,50.276615
50.0,208.5344,194.34416,208.82553,195.75749
50.5,52.069965,48.22136,52.229477,49.105335
51.0,1.1175327,0.6637339,1.234984,0.64807236
51.5,0.8527213,0.51158965,1.0068945,0.55411613
52.0,0.7172054,0.43534985,0.83290696,0.4550038
52.5,0.6121902,0.35462925,0.7024105,0.37678573
53.0,0.48948342,0.29222822,0.62006277,0.32043752
53.5,0.40727642,0.22945338,0.51043683,0.27408245
54.0,0.33936262,0.18737337,0.39635065,0.21435842
54.5,0.27764317,0.16172335,0.30719268,0.172641
55.0,0.2109727,0.12711199,0.26130432,0.15300864
55.5,0.17739336,0.101964734,0.19772567,0.12057384
56.0,0.15730734,0.08623151,0.15448706,0.09131155
56.5,0.13060063,0.07116933,0.13996165,0.07398776
57.0,0.10671087,0.059035774,0.10852584,0.058573857
57.5,0.08245518,0.050191797,0.09058476,0.04883333
58.0,0.06429099,0.038467962,0.0825062,0.042574935
58.5,0.054713145,0.032006945,0.062168937,0.03473886
59.0,0.046429794,0.027359335,0.053469673,0.028702535
59.5,0.032897577,0.021657078,0.04251659,0.02309955
60.0,0.02436598,0.016478281,0.030952068,0.018232286
60.5,0.019757206,0.011995918,0.024462162,0.013298017
61.0,0.015962766,0.009612037,0.019624284,0.009679973
61.5,0.013320631,0.0077233687,0.01406006,0.007635831
62.0,0.010228247,0.006075556,0.011936796,0.00654346
62.5,0.007876914,0.004695106,0.009613617,0.005115507
63.0,0.00648039,0.0039865146,0.0077656847,0.004086969
63.5,0.0058069783,0.0036188886,0.007525586,0.0039399685
64.0,0.0027878424,0.0016324255,0.003906258,0.0019379698
